"","accession","pval_bon: wt VS ko","pval_bon: wt-cyto-no glu VS wt-cyto-glu","pval_bon: wt-mem-glu VS wt-cyto-glu","pval_bon: wt-mem-glu VS wt-mem-no glu","pval_bon: wt-mem-no glu VS Δ-mem-no glu","pval_bon: Δ-mem-no glu VS Δ-mem-glu","pval_BY: wt VS ko","pval_BY: wt-cyto-no glu VS wt-cyto-glu","pval_BY: wt-mem-glu VS wt-cyto-glu","pval_BY: wt-mem-glu VS wt-mem-no glu","pval_BY: wt-mem-no glu VS Δ-mem-no glu","pval_BY: Δ-mem-no glu VS Δ-mem-glu","pval_BH: wt VS ko","pval_BH: wt-cyto-no glu VS wt-cyto-glu","pval_BH: wt-mem-glu VS wt-cyto-glu","pval_BH: wt-mem-glu VS wt-mem-no glu","pval_BH: wt-mem-no glu VS Δ-mem-no glu","pval_BH: Δ-mem-no glu VS Δ-mem-glu","AoverB: wt VS ko","AoverB: wt-cyto-no glu VS wt-cyto-glu","AoverB: wt-mem-glu VS wt-cyto-glu","AoverB: wt-mem-glu VS wt-mem-no glu","AoverB: wt-mem-no glu VS Δ-mem-no glu","AoverB: Δ-mem-no glu VS Δ-mem-glu"
"638","Q61765",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA
"639","Q61792",1,1,1,1,1,1,1,1,1,1,1,1,0.394486508585688,1,1,1,1,1,1.12122650840751,1.24242547315408,NA,NA,2.72549720138146,0.74739652870494
"640","Q61879",1,1,1,1,1,1,1,1,1,1,1,1,0.627445706801668,1,1,1,1,1,0.778367639758681,NA,NA,NA,NA,NA
"641","Q61885",1,1,1,1,1,1,1,1,1,1,1,1,0.462177976127703,1,1,1,1,1,1.03424197240482,NA,NA,NA,NA,NA
"642","Q61937",1,0,0,1,1,0,1,0,0,1,1,0,0.634511670689851,0,0,1,1,0,0.887416881530738,0.716220554101439,NA,NA,1.28141479099678,1.04629255820213
"643","Q61990",1,0,0,0,1,1,1,0,0,0,1,1,0.36849753445362,0,0,0,0.294327535897465,0.359134672612235,0.851702295865205,0.794989769256285,NA,NA,1.2489113554292,0.782351834768739
"644","Q62095",1,1,1,1,1,1,1,1,1,1,1,1,0.349576499195703,1,1,1,1,1,1.74520632876698,NA,NA,NA,NA,NA
"645","Q62168",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA
"646","Q62186",0,1,1,0,1,1,0,1,1,0,1,0.385345299298052,0,1,1,0,0.496895301690537,0.0497267448991396,0.628813244047619,NA,NA,NA,1.17073648472186,0.627460619840636
"647","Q62188",1,0.460398441177747,1,1,1,1,1,0.0163658054857473,1,1,1,1,0.907368911673183,0.00211191945494379,0.519074294844277,0.240496388475304,0.977003239844898,1,0.97631805419062,1.86842313752086,1.36213701814601,0.692700306471372,1.01488472734043,0.863309428244179
"648","Q62189",1,0,0,1,1,1,1,0,0,1,1,1,0.263154463003149,0,0,1,1,1,1.06588017434785,NA,NA,NA,2.45328542094456,0.451187029530979
"649","Q62241",1,1,0,0,1,1,1,1,0,0,1,0.663538007755261,0.600913875235039,0.428918944050209,0,0,0.187617724402491,0.0856260224339942,1.19352274785198,1.71209426938853,NA,NA,1.37860118014578,0.575624375624376
"650","Q62261",1,1,0,0,1,1,1,0.875970133264308,0,0,1,1,0.386296471053059,0.113039249305616,0,0,1,0.240106337798005,1.10574357130013,3.56847537382307,1.22145577600513,0.736951764991909,1.04816903415318,1.89703497317753
"651","Q62277",1,1,1,0,1,1,1,1,1,0,1,1,0.986024796506801,1,1,0,0.24272551978665,1,1.08286373768068,NA,NA,NA,0.707440351380581,1.0578332944198
"652","Q62283",1,1,1,1,0,1,1,1,1,1,0,1,0.536536489078048,1,1,1,0,0.216456278643078,0.857262203126867,NA,NA,NA,NA,0.643862044402232
"653","Q62351",1,1,1,0,1,1,1,1,1,0,0.810776506684268,1,0.993786547028757,1,1,0,0.104626361322031,1,1.01334839874236,NA,NA,NA,0.727900338548005,1.01343230030946
"654","Q62419",1,1,1,1,1,1,1,1,1,1,1,1,0.205979075613477,1,1,1,1,1,1.23477055131652,0.43039187496407,1.71241736131072,NA,NA,NA
"655","Q62420",1,1,1,1,0,1,1,1,1,1,0,1,0.34525739959019,1,1,1,0,0.266536884177208,1.05424236047789,NA,NA,1.45198635145016,0.980172001911132,0.821200281188186
